\Mu,mean, coefficient of friction, magnetic moment, population mean, reduced mass
\Nu,nusselt number,molar flow rate,neutrino,nuclide,fluid dynamic viscosity
\Xi,Xi,barrier potential,genetic code,ordovician period,Corona Borealis
\Omicron,complexity theory,asymptotic notation,algorithm analysis,upper bound,error analysis
\Pi,circle constant,radius of circle,area of circle,circumference,divisor of a circle
\Rho,density, Pearson correlation coefficient, potential temperature, reactivity coefficient, resistivity
\Sigma,sum,probability density function,capacitance,entropy,standard deviation
\Tau,torque,Taylor's theorem,thermal resistance,torsional constant,torsional stiffness
\Upsilon,quantum mechanics,heavy quarkonia,finite temperature QCD,heavy ion collisions,quark-gluon plasma
\Phi,magnetic flux,phi-dependent matrix,flux carrier density,Boltzmann-Planck equation,phase coherence
\Chi,Chi-square distribution, characteristic function, Euler characteristic, chromatic number, susceptibility
\Psi,wave function,electrostatic potential,stream function,water potential,magnetic flux
\Omega,angular frequency, Ohm's law, solid angle, resistor impedance, electric conductivity
\alpha,angle,unit of measurement,angular acceleration,constant,particle physics
\beta,beta distribution,hypothesis testing,power,bernoulli distribution,confidence interval
\gamma,gamma ray, gamma function, Lorentz factor, Euler-Mascheroni constant, gamma distribution
\delta,Kronecker delta function,Dirac delta function,change in,volume element,error term
\varepsilon,error term,epsilon neighborhood,small value,relative error,tolerance
\zeta,Riemann zeta function,critical line,prime zeta function,dynamic zeta function,generalized zeta function
\eta,viscosity,efficiency,eta squared,canonical correlation,rotational speed
\theta,angle,radian,polar angle,angular velocity,angle bracket
\iota,imaginary unit, set indexer, number one, Kronecker delta, circular path
\kappa,curvature radius,permeability,wave number,curvature,radiative contact angle
\lambda,wavelength,  eigenvalue,  Lebesgue measure,  regularization parameter,  decay rate
\mu,coefficient of friction,mean,chemical potential,magnetic permeability,micron
\nu,frequency, chemical potential, kinematic viscosity, specific volume, Poisson's ratio
\xi,xi,xi squared,xi coordinate,xi variable,xi value
\omicron,order,complexity,small perturbation,mean anomaly,complexity class
\pi,circle area formula,euler's identity,period of a pendulum,normal distribution,functional equation
\rho,density,correlation coefficient,polar coordinate,radius vector,charge density
\varsigma,statistical parameter,standard deviation,slope of load-deflection curve,field emission current density,scaling factor
\sigma,stress tensor,standard deviation,conductivity,Pauli matrices,summation formula
\tau,torque, relaxation time, proper time, duplication time, period
\upsilon,velocity,minimum thickness,fluid velocity,onset velocity,perturbation frequency
\varphi,potential function, phase angle, golden ratio, wave function, Euler's totient function
\chi,chi-square test, Euler characteristic, characteristic equation, chemical potential, chromatic number
\psi,wave function,polar coordinates,quantum mechanics,fluid dynamics,schrodinger equation
\omega,angular velocity, pulsation, complex number, frequency, rotational speed
\vartheta,angle, spherical coordinates, rotational inertia, geometric algebra, complex number
\phi,electric potential, phase difference, Euler's totient function, golden ratio, angle
\varpi,angular velocity, potential vorticity, motion derivation equation, vorticity fluid theory, omega-shaped starfish
\upDigamma,variadic function,quantum chromodynamics,excited state,excitation energy,frictional coefficient
\updigamma,digamma function,digamma integral,special function,W-symmetry,generalized inverse hyperbolic cotangent
\varkappa,curvature,radius,curvature,curvature,curvature
\varrho,density, correlation coefficient, Pearson correlation coefficient, Spearman correlation coefficient, reduced density matrix
\varTheta,angle,complexity theory,constant,true parameter,radian
\epsilon,Error term,permittivity,dielectric constant,accuracy requirement,finite difference method
\upbackepsilon,counterexample,epsilon,not epsilon only,inverse image,nonempty
\horizbar,horizontal bar,line segment,symbol for average value,distribution function,overline
\Vert,norm, vector space, double bar, norm of a vector, absolute value
\twolowline,linearity,multilevel regression,spectral series expansion,conduction heat transfer equations,dynamic system model
\dagger,conjugate transpose,adjoint operator,Hermitian adjoint,complex conjugate,adjoint matrix
\ddagger,double dagger,chemical notation,molecular coupling constant,second-order perturbation theory, Theil–Sen estimator
\smblkcircle,area,curve,point,region,intersection
\enleadertwodots,partial derivative,conversion efficiency,shaping filter,probability distribution,functional dependence
\ldots,dot dot dot,etcetera,id est,eg,ellipsis
\prime,derivative,prime number,foot,contradiction,high-temperature
\dprime,second derivative, prime notation, double prime, tensor notation, physics symbol
\trprime,triple prime,trace prime,transportation problem
\backprime,mathematical dual,ring homomorphism,operator equation,vector representation,transfinite recursive definition
\backdprime,second derivative,velocity profile,Vlasov equation,curvature,acceleration profile
\backtrprime,scalar field, vector field, direction field, wavefunction
\caretinsert,superscript,control theory,insertion operator,complex power,spinal cord injury
\Exclam,factorial,exceptional point,exclamation mark,exclusivity,example
\tieconcat,vectorconcatenation,stringconcatenation,setconcatenation,matrixconcatenation,datapointconcatenation
\hyphenbullet,line-break,hypenation style,enumerate item_prefix,line-wrap marker,column separator
\fracslash,division, ratio, fraction, per, percent
\Question,problem,solution,mathematics,examination,inquiry
\closure,topological closure,linear closure,geometric closure,concurrency closure,group closure
\qprime,prime notation,quantum state,auxiliary output,russian index,lattice site
\euro,currency symbol,international trade,economic analysis,budget allocation,forex trading
\leftharpoonaccent,vector,antiderivative,harmonic analysis,differential equation,liminf
\overleftharpoon,vector,differential operator,contravariant vector,initial velocity,vector potential
\rightharpoonaccent,vector,momentum,force,electric field,velocity
\overrightharpoon,vector,harpoon,homology,isometric,map
\vertoverlay,scalarproduct,mirrorimage,vectoraddition,lineardependence,orthogonalbasis
\overleftarrow,vector,arrow,notation,function,transformation
\overrightarrow,displacement vector, velocity vector, force vector, acceleration vector, magnetic field vector
\vec,force vector,velocity vector,magnetic field vector,acceleration vector,displacement vector
\dddot,third derivative,acceleration,rotational motion,kinematics,angular acceleration
\ddddot,second derivative,time derivative,temporal evolution,velocity profile,acceleration vector
\enclosecircle,integral,curvilinear coordinate system,flux,period,curve
\enclosesquare,norm of a vector,matrix,completeness relation,quadratic form,indicator function
\enclosediamond,Lozenge,subset,contained in,precedes,smaller than
\overleftrightarrow,line segment,geometry,vector,ray,plane
\enclosetriangle,permutation,mathematics,induction,geometry,probability
\annuity,cash flow, present value, future value, interest rate, periodic payment
\threeunderdot,triple integral,third derivative,triple dot, particle physics symbol, resonance damping
\widebridgeabove,barrier energy profile,orbitals calculations,semi-empirical methods,molecular dynamics simulation,transition state theory
\underrightharpoondown,mapsto,arrow symbol,function definition,subset relation,vector transformation
\underleftharpoondown,vector field,additive white Gaussian noise,optimization problem curve,Additive White Gaussian Noise channel,additive white gaussian noise
\underleftarrow,vector,arrow,complex number,nested square root,transformer
\underrightarrow,vector, displacement, velocity, acceleration, force
\asteraccent,asterisk,accent points,action phase,axis points,anti-phase
\mathbb{C},complex numbers,complex plane,complex analysis,complex conjugate,Fourier transform
\Eulerconst,circle number, Euler-Mascheroni constant, mathematical constant, mathematical formula, constant of integration
\mathcal{g},group,generator,graph,gradient,geodesic
\mathcal{H},Hamiltonian, Hilbert space, Hessian matrix, Hodge dual, Hadamard product
\mathfrak{H},Hilbert space, Hamiltonian operator, Hodge dual, Hardy space, Hahn-Banach theorem
\mathbb{H},Hamiltonian function, Quaternions, Upper half-plane model in hyperbolic geometry, The set of quaternions with nonnegative real part, Heaviside step function
\Planckconst,action,quantum of action,Planck's constant,quantum of angular momentum,quantum of charge
\hslash,Reduced Planck constant,quantum mechanics,physics,particle physics,quantum field theory
\mathcal{I},ideal, integral, imaginary unit, information, image
\Im,imaginary part,immersed,impedance,pseudo-imaginary,imaginary part ofcomplex number
\mathcal{L},Laplace transform, Lagrangian, likelihood function, linearity, Laguerre polynomial
\ell,line, length, element, wavelength, well
\mathbb{N},natural numbers,non-negative integers,positive integers,nonnegative integer,positive integer
\wp,Weierstrass elliptic function,Weierstrass p function,Weierstrass zeta function,Weierstrass sigma function,Weierstrass $\wp$ function
\mathbb{P},probability,projective space,prime field,pushing operator,polarization identity
\mathbb{Q},rational numbers,field of fractions,algebraic number theory,field theory,additive group
\mathcal{R},field of real numbers, residue class ring, reservoir engineering, representation theory, Riemann surface
\Re,real part,real numbers,representation,real part of a complex number,real field
\mathbb{R},real numbers,real line,real-valued function,real-world application,real coefficient
\mathbb{Z},integer number, integer solutions, integer coefficients, integer lattice, integer programming
\mho,conductance,siemens,reciprocal ohm,electrical conductivity,characteristic admittance
\mathfrak{Z},Z-transform,Zorn's lemma,Zeilberger's algorithm,Zariski topology,Zorn's lemma
\turnediota,torque,current density vector,dielectric coefficient,angular velocity,ionization energy
\Angstrom,length,unit,radius,molecule,angstrom
\mathcal{B},basis, probability space, borel sigma algebra, weak convergence, boolean algebra
\mathfrak{C},curves,complex numbers,commutative ring,class group,covariance matrix
\mathcal{e},expectation, probability density function, error function, covariance matrix, exponential distribution
\mathcal{E},energy,fuzzy set,expected value,error function,elastic modulus
\mathcal{F},Fourier transform, function, field, operator, filter
\Finv,inverse cumulative distribution function,inverse Laplace transform,inverse Fourier transform,inverse function,inverse trigonometric function
\mathcal{M},manifold,modulus,matrix,momentum,mapping
\mathcal{o},small-o notation,order of growth,small-o estimate,lower bound,landau notation
\aleph,cardinality of infinite sets,algebraic number,transfinite ordinal,cardinal exponentiation,aleph number
\beth,cardinality of a set,ordinal number,order type,
\gimel,probability distribution,group action,symbolic dynamics,non-commutative algebra,statistical mechanics
\daleth,cardinality of continuum,field of constructible numbers,algebraic closure of the field of constructible numbers,field of constructible numbers over the rationals,cardinality of algebraic numbers
\mathbb{\pi},constant,irrational number,mathematical constant,ratio of a circle's circumference to its diameter,pie
\mathbb{\gamma},group,homomorphism,graph,generator,grid
\mathbb{\Gamma},field of rational numbers,divisor function,graph of a function,grid cell,lower incomplete gamma function
\mathbb{\Pi},probability,product,function,field
\mathbb{\sum},summation,set of integers,sum of squares,sigma notation,combinatorial sum
\Game,strategy, theory, matrix, player, simulation
\sansLturned,equation,mathematical formula,line integral,vector field
\sansLmirrored,reflection coefficient,quantum channel capacity,polarimetric radar processing,radar polarimetry,quantum cloning
\Yup,Yorktown swift simulator,Young's undulation principle
\mathbbit{D},derivative,discrete probability distribution,dimensions,distance,vector field
\mathbbit{d},determinant,differential operator,dimensions,distance,distance between points
\mathbbit{e},exponential constant,Euler's number,expected value,error term,ellipsoid
\mathbbit{i},imaginary unit, complex number, index set, inertia tensor, intensity profile
\mathbbit{j},angular momentum quantum number,superconformal current,imaginary unit,vector potential,quantum mechanics
\PropertyLine,theorem,property,proposition,corollary,lemma
\upand,gradient,vector addition,unit vector,manifold,dimensions.
\leftarrow,direction,imply,backward,map,assignment
\uparrow,increase,pointwise limit,upward closed set,directional derivative,upward closure
\rightarrow,vector transformation, limit definition,slope computation,directional derivative,function mapping
\downarrow,vector,arrow,gradient,decrease,move
\leftrightarrow,function bijective,map invertible over set,map bijective,necessary sufficient condition,mathematical equilibrium
\updownarrow,equilibrium,reflection,lattice vibration,quantum state transformation,phase transition
\nwarrow,northwest arrow,vector representation,function maxima,input-output points,optimization problem
\nearrow,direction,arrowhead,increasing,diagonal,gradient
\searrow,decreasing function, decreasing sequence, decreasing order, subsequence, decreasing trend
\swarrow,vector,sum,norm,diagonal,field
\nleftarrow,arrow in category theory,symbol in programming languages,boolean logic operator,mathematical notation in equations,not reverse arrow
\nrightarrow,implication,does not converge,non-convergent,does not approach,non-reversing
\leftwavearrow,arrow notation,quantum coherence,quantum information theory,quantum dynamics,quantum trajectories
\rightwavearrow,equation,theorem,proof,lemma
\twoheadleftarrow,mapping,injective morphism,endomorphism,Katamari datastructure
\twoheaduparrow,nuclear physics,mathematics,quantum mechanics,group theory
\twoheadrightarrow,injection,correspondance,bijection,map,arrow
\twoheaddownarrow,relation mapping, stably equivalent, direct sum operation, subgroup inclusion, relational interpretation
\leftarrowtail,subset,injective,bijective,endomorphic,functional
\rightarrowtail,morphism,category theory,injective,map,function
\mapsfrom,function,element,point,variable,vector
\mapsup,supremum mapping, mapping, image of the supremum, mapping from a set to its supremum, mapping from a set to its image of supremum
\mapsto,function mapping,directly corresponds,referred to as,image under(mapping)
\mapsdown,morphism,commutative diagram,group homomorphism,function,isomorphism
\updownarrowbar,equality, symmetry, isomorphism, congruence
\hookleftarrow,injective arrow, left-pointing arrow, homomorphism, monomorphism, morphism
\hookrightarrow,function, mapping, injection, implication, directed acyclic graph
\looparrowleft,covariant derivative,covariant derivative operator,parallel transport operator,vector potential,charged particle_hypercharge
\looparrowright,cyclic process,sequential decision making,recursive function,feedback loop,control system
\leftrightsquigarrow,mapping,bijective,injective,surjective,function
\nleftrightarrow,relation,mathematical symbol,inverse,not equal,logic
\downzigzagarrow,downward force,downward acceleration,downward velocity,downward displacement,downward distance
\Lsh,left shift,logical shift,bitwise operation,arithmetic shift,shifting bits
\Rsh,equivalent resistance,electrical circuits,series-parallel resistors,ohm's law,transmission line
\Ldsh,triple dagger,triple dagger operator, Boolean triple dagger,summation,partial ordering relation.
\Rdsh,R_dsh, V'_dsh, \boldsymbol{R}_dsh, V^\prime_dsh, V_{dsh}
\linefeed,newline, carriage return, end of line, text file parsing, line wrapping
\carriagereturn,line break,paragraph break,newline,vertical whitespace,soft return
\curvearrowleft,angle,curve,arrow,direction,path
\curvearrowright,direction, clockwise, arrow of time, power series, linking number
\barovernorthwestarrow,vector, arrow, tensor, field, operation
\barleftarrowrightarrowbar,equation of motion,phase transition,flux linkage,line integral,characteristic polynomial
\acwopencirclearrow,angular velocity,vector cross product,rotation matrix,fluid dynamics,equilibrium equation
\cwopencirclearrow,rotation, energy diagram, flowchart, cyclic process, chemical equilibrium
\leftharpoonup,inner product, partial order, lattice, topological order, category theory
\leftharpoondown,vector,operator,arrow,functional,reversible
\upharpoonright,restriction map, functional restriction, domain restriction, symbol of restricted function, restriction symbol
\upharpoonleft,harpoon,left-vector,injective,endomorphic,surjective
\rightharpoonup,vector,force,momentum,velocity,gradient
\rightharpoondown,vector,gradient,boundary normal,flow velocity,downsample
\downharpoonright,vector projection,vector product,linear transformation,downward-pointing arrow,conjugate symmetry
\downharpoonleft,arrow,harpoon,left,mathematics,algebraic number theory
\rightleftarrows,relation of equivalence,group isomorphism,continuous bijection,isomorphic vector spaces,category isomorphism
\updownarrows,arrow relations,relational properties,macronucleoli,up-down state,arrows up and down
\leftrightarrows,arrow mapping,functional bijection,isomorphism between sets,exchange of variables,functional equivalence
\leftleftarrows,maps backwards,left leftrightarrow,nested double long left arrows,maps backwards reversed left arrow,maps reversed leftwards Jekyll robot
\upuparrows,isomorphism,pushout diagram,commutative diagram,fiber product diagram
\rightrightarrows,map of isomorphisms,category of finite sets and total functions,mapping of homomorphisms,vector field on a manifold
\downdownarrows,relation symbol,commutative diagram,residuals diagnostics,finite sequences,second derivative
\leftrightharpoons,equilibrium reaction,chemical reaction,chemical equilibrium,reversible reaction
\rightleftharpoons,equilibrium reaction,reversible reaction,chemical equilibrium,organic synthesis,chemical kinetics
\nLeftarrow,logical implication,if and only if,biconditional,material equivalence,logical equivalence
\nLeftrightarrow,if and only if,converges in distribution,convergence in distribution,iff,if and only	when
\nRightarrow,implication,logical negation,false,non-monotonic reasoning,not provable
\Leftarrow,implication symbol,logical equivalency,if and only if,arrow in the direction left to right
\Uparrow,increase,upward trend,direction,signal,converge
\Rightarrow,implication,logic,arrow function,mathematics,convergence
\Downarrow,limit,arrow,decrease,set relation,fall
\Leftrightarrow,equivalence,if and only if,iff,biconditional,material equivalence
\Updownarrow,equivalence of sets,logical equivalence,up-down arrow notation,triple bond in chemistry,equivalence relation
\Nwarrow,divergence,flow field,fluid dynamics,vector field,flux
\Nearrow,up-arrow,approximation symbol,diagonal arrow,engineering symbol,mathematics symbol
\Searrow,upwards arrow,right arrow,downwards arrow,arrow symbol,arrow pointing southeast
\Swarrow,downarrow,downleftarrow,downrightarrow,downharpoonleft
\Lleftarrow,imply,symbol,relation,logical,arrow
\Rrightarrow,implies,converges,maps,similar,arrow
\leftsquigarrow,injective function,bijective mapping,convergence in distribution,many-one relation,one-to-one correspondence
\rightsquigarrow,relation,implication,approximation,map,function
\nHuparrow,long exact sequence,long exact sequences,categories,topological space,abelian categories,cohomology theory
\nHdownarrow,line bundle,constitutive equation,quantum state,vector field,two-form
\leftdasharrow,relation,diagram,mathematics,number theory,graph theory
\updasharrow,ray tracing,ISX algorithm,variable expansion,stimulus-response chain,model inversion
\rightdasharrow,arrow,dashed arrow,right pointing arrow,continuous function mapping,function mapping
\downdasharrow,arrow for down operation,display down operation,down action symbol,down operation arrow,down operation sign
\barleftarrow,derivative,symmetric difference,average velocity,complete bipartite graph,covering radius
\rightarrowbar,vector,range map,functional dependencies,logical implication,multi-step reaction
\leftwhitearrow,vector,gradient,derivative,curl,divergence
\upwhitearrow,vector,operator,convergence,random variable,function
\rightwhitearrow,vector,arrow notation,impulse response,response of the system,step response
\downwhitearrow,limit,arrow symbol,vector transformation,mathematical operator,linear algebra
\whitearrowupfrombar,vector addition,force distribution,piecewise defined function,upper incomplete gamma function,Barbalat's lemma
\circleonrightarrow,circular movement,inductive coupling system,circle with an arrow pointing outward,angular velocity,rotation
\downuparrows,symbolic dynamics, orbit equivalent, primitive interval exchange transformation, irreducible Markov chain
\rightthreearrows,3D simulation,quantum mechanics,arrow notation,object being measured,quantum state
\nvleftarrow,leftarrow,alpha,mapsto,dot,bar
\nvrightarrow,rightwards arrow,new vector,normal vector,unit vector,navier-stokes equation
\nvleftrightarrow,implies,if and only if,converse,bi-conditional,follows
\nVleftarrow,set inclusion,subset relation,asymptotic notation,implication,element of
\nVrightarrow,vector to,vanishing properties,vanishing dimensions,vanishingly small,vector valued function
\nVleftrightarrow,equivalence relation, isomorphism, normal subgroup, linear transformation, diagonal matrix
\leftarrowtriangle,geometric transformations,vector notation,positive direction,increase in value,flow direction
\rightarrowtriangle,arrow of symmetry,triangle inequality,locally compact group,limit point,orthogonal matrix
\leftrightarrowtriangle,independent set,isomorphism class,similar triangles,commutative diagram,adjoint triangles
\forall,quantifier,logic,mathematics,domain,propositional formula
\complement,set complement,probability complement,event complement,orthogonal complement,logic complement
\partial,derivative,partial differential equation,gradient,partial derivative,partial fraction
\exists,existential quantification,first-order logic,mathematics,logic,statistics
\nexists,does not exist,not an element,there is no,not exist,nonexistent
\varnothing,empty set,null set,zero set,empty symbol,empty space
\increment,slope,increasing order of array elements,continuous function,change in a variable,counting indices
\nabla,gradient,vector operator,Laplace operator,divergence,del
\in,set membership, natural numbers, real numbers, elements, subset
\notin,element not in set,point not in line,value not in domain,vector not in subspace,function not in family
\smallin,inertia,inclusion,information,infection,input
\ni,intersection,newt-iteration,non-integer,non-identity diagonalmatrix,non-identity lowertriangularmatrix
\nni,unitary ring,ordinary point,Uniformity,Minimal polynomial,unitarily equivalent
\smallni,injection,bijection,surjection,function,identity
\QED,end of proof, conclusion, completion of the proof, square symbol
\prod,product,finite group,prime factorization,multiplication operator,distributive property
\coprod,categorical coproduct,mathematical coproduct,matrix coproduct,vector space coproduct,group coproduct
\sum,series,summation,index set,finite sum,infinite sum,convergence
\minus,subtraction,negative sign,opposite value,negative quantity,negated value
\mp,mean pressure,melting point,motif partition,minimum phase,optical pressure
\dotplus,addition of vectors,direct sum,element-wise addition,direct sum of subspaces
\divslash,division,operation,arithmetic,symbol,computing
\smallsetminus,set difference, set complement, set subtraction, set minus, set operation
\ast,convolution,orthogonal complement,star product,astrophysics,stellar radius
\vysmwhtcircle,curve, intersection, circle, radius, circumference
\vysmblkcircle,circle-enclosing equiprobable,medial function,circle enclosing differentially,primitive cells,phase boundaries
\sqrt,radical sign, square root function, square root symbol, square root radical, square root operation
\surd,square root,nth root,cube root,radical,root finding
\cuberoot,cube root,cuberoot function,evaluate \cuberoot{x},cube root of unity,cuberoot of a complex number
\fourthroot,nth root,nth positive root,real fourth root,real positive fourth root,real negative fourth root
\propto,proportionality constant,proportional to,inversely proportional to,directly proportional, varies directly
\infty,infinity,limit,distance,maximum,probability
\rightangle,angle,perpendicular,hypotenuse,right triangle
\angle,triangle,degrees,radians,angle of elevation,angle of depression
\measuredangle,angle,arc,triangle,vertex,quadrilateral
\sphericalangle,angle,three-dimensional geometry,solid angle,vector calculus,crystallography
\mid,divides, given that, midline, midpoint, midpoint formula
\nmid,divides,does not divide,not divisible,not separating,not in the middle
\parallel,line,geometry,parallel lines,linear algebra,vector space
\nparallel,parallel lines,parallelogram,parallelism,theorem,parallelepiped
\wedge,wedge,intersection,exterior product,meet,logical conjunction
\vee,logical disjunction,Boolean algebra,logic gates,join operation,logical OR
\cap,intersection, set theory, topology, Venn diagram, boolean algebra
\cup,union,disjoint union,intersection,set theory,multi-index notation
\int,integral,probability density function,cumulative distribution function,area under the curve,definite integral
\iint,volume integral,surface integral,triple integral,double integral,iterated integral
\iiint,volume integral,vector calculus,triple integral,infinitesimal volume,three-dimensional integration
\oint,circulation,complex contour integral,flux,modified Bessel function,complete elliptic integral.
\oiint,surface integral,flux integral,probability distribution,contour integral,divergence theorem
\oiiint,volume integral,triple integral,3D region integration,flux integral
\intclockwise,line integral, anticlockwise contour integral, clockwise contour integral, clockwise line integral, some applications
\varointclockwise,line integral,vector field,closed curve,path integral
\ointctrclockwise,line integral,complex analysis,closed curve,path integral,Green's theorem
\therefore,logical consequence, therefore, thus, hence, consequently
\because,therefore, given, since, because of, as
\mathratio,ratio,arithmetic ratio,geometric ratio,rate ratio,module ratio
\Colon,dot product,divides,ratio,element of,vector multiplication
\dotminus,set difference, vector subtraction, discriminant, quotient space, directed graph
\dashcolon,interval_map,probability_measure,relation_map,index_set,cosmic_microwave_background
\dotsminusdots,dot product,vector subtraction,scalar multiplication,outer product,vector addition
\kernelcontraction,prime,calculate,compute,quantum,finite
\sim,equivalent,approximate,similar,tilde,isomorphism
\backsim,similar,approximate,relation,bi-simulation,symbol
\invlazys,cofactor,resolution set,component,labeling,optimizers
\sinewave,wavefunction,signal processing,vibration analysis,optical communication,AC circuit
\wr,cross product,vector rotation angle,word representation,word wrangling,whenever possible
\nsim,not similar,not sign,not modified,not sigma,not simplified
\eqsim,approximation,equivalent symbol,related,relational operator,similar symbol
\simeq,approximate, equivalent, similarity, asymptotic, correlation
\nsime,approximately equal,non-Gaussian signals,polynomial approximation,linearly independent,finite field
\cong,angle,biconditional,triangle similarity,similar,geometric congruence
\simneqq,not equivalent,similar and not equal,almost equal and not equal,simulated annealing algorithm
\ncong,noncongruent,similar triangles,not congruent,not isomorphic,rays
\approx,estimate, approximation, nearly equal, asymptotically equivalent, round off
\napprox,approximately,not approximately,non-approximable,non-approximation theory,almost equal
\approxeq,approximately equal to,approximately equivalent,approximation,approximated by,approxended to
\approxident,approximation identifier,approximation technique,approximation error,approximation method,approximation formula
\backcong,congruence,triangle similarity,modular arithmetic,isosceles triangle,geometric similarity
\asymp,equivalence,asymptotic notation,similar,closely approximates,nearly equal
\Bumpeq,symmetric difference operator,notation for congruence relation,upwards arrow in chemical reaction,assertion of a countable collection of sets is countable,adjacency matrix of a graph
\bumpeq,cong,rightharpoondown,shortparallel,approxeq,bumpeq
\doteq,approximately equal, equivalent, is defined as, asymptotically equal, mathematically equal
\Doteq,equal by definition,approximation sign,roughly equal,approximation relation,roughly approximates
\fallingdotseq,approximately equal,asymptotically equal,approximately equivalent,asymptotic expansion,asymptotic limit
\risingdotseq,approximation relation, asymptotic relation, equivalence relation, isomorphism relation, congruence relation
\coloneqq,definition,assignment,equality,relation,abbreviation
\eqqcolon,equal by definition,equality up to reparametrization,equation restricted to Q,estimate with respect to a commutative diagram,equality for tilde-respecting maps
\eqcirc,cross-validation,composition operator,equal in distribution,monoidal category,monoidal functor
\circeq,geometric congruence, equivalence relation, special unitary group, arrow, Hamiltonian's quaternion relations.
\arceq,arc-equivalence,arccosine equation,arcangle equivalence,arccotangent equation,arcsecant equivalence
\wedgeq,equivalence,wedge product,wedge sum wweighted,total variation
\veeeq,vector equation,vector equalization,vector equivalent,vector equilibrium,vector equilibrium state
\stareq,equation,stars,stars equal,star mark,eq symbol
\triangleq,equivalence relation,define as equal,triangle equal,defined as,triangle identity
\eqdef,define equal,define equality,definition equality,define by equality,defined as equal
\measeq,sequence,measure,measurable set,measurable function,measurable space
\questeq,equation,question,wuest equation,least square estimation,statistical model
\ne,inequality,neutron,equation,nebula,SIGNAL
\equiv,equivalence relation, modular arithmetic, logical equivalence, identities in set theory, congruence modulo
\nequiv,logical equivalence,modular equivalence,not equivalent,non-equivalent,not similar
\Equiv,logical equivalence, chemical reaction equilibrium, mathematical equivalence, equivalent resistance, equivalent circuit
\leq,inequality,comparison,order,relation,mathematics
\le,inequality,less than or equal to,Legendre symbol,parallelogram law,lambda orbit
\geq,inequality,greater than or equal to,mathematics,order relation,comparison
\ge,inequality,greater than or equal to,Gershgorin circle theorem,vector magnitude,geometric series,gradient
\leqq,inequality,variational inequality,saddle point,solution space,second-order necessary condition
\geqq,inequality,geometric mean inequality,mathematics,probability theory,geometric distribution
\lneqq,inequality,not equal,probability distribution,vector space
\gneqq,inequality,not equal to,relation,mathematics,not equivalent
\ll,much less,forking,linguistic landscape,infimum supremum,valuation
